DB ID,Groups,Measure Title,Detail Measure - CTP,Short Definition - CTP,Long Definition - CTP,Operation Description - CTP,Exclusions - CTP,Availability - CTP,Sources - CTP,Footnotes - CTP,Format - CTP,Calculation - CTP,Variable - CTP,Unknown Expression 1 - CTP,Unknown Expression 2 - CTP,Allowable Tags - CTP,Expression 1 - CTP,Expression 2 - CTP,Filter Classes - CTP,Charging Stage - CTP,Date Stage - CTP,Felony / Misdemeanor - CTP,Include Standard Severities - CTP,Units - CTP,Numerator Description - CTP,Denominator Description - CTP,Related Measures - CTP
900,"Performance, Primary
Goal, Public Safety:
Stage: Pretrial:",Violent Cases Received,,"Measures the percentage of violent cases that were received by the prosecutor's office. 
",There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Number of violent cases received by the prosecutor divided by the total number of cases received by the prosecution.,Cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgOffnsType,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted>-777 AND TopRfrrdChrgOffnsType=1,Prosecuted>-777 AND TopRfrrdChrgOffnsType>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,TRUE,"Case, Cases",Violent Cases Received,Cases Received,"901,908,909"
901,"Performance, Primary
Goal, Public Safety:
Stage: Pretrial:",Racial Disparity in Violent Victimization,,Measures the disparity between the percentage of violent cases involving victims of color received by the prosecutor's office and those involving white victims.,There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Percent of violent cases involving a victim of color divided by the percent of violent cases involving a white victim.,"Nonviolent cases, cases where the victim is not known, cases transferred to another jurisdiction.","(1,2,3)CA113: NOT_AVAILABLE_YET",(3)CA: [212],,Disparity,DISPARITY,VctmRace,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",measure:909,measure:908,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,TRUE,"Case, Cases",% Violent Cases: Victim of Color,% Violent Cases: White Victim,"900,908,909"
2,"Performance, Primary
Goal, Fair Process: 2
Goal, Fiscal Responsibility: 2
Stage, Crime and Arrest: 2",Cases Rejected for Prosecution,,Measures the percentage of cases received by the prosecutor's office that were rejected for prosecution. [5],"We recommend interpreting this measure together with ""Cases Dismissed."" We also recommend exploring this measure using the offense severity, offense type, race/ethnicity, indigent status, age, and sex filters. 

There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.",Number of cases received that were rejected for prosecution divided by the number of cases received by the prosecutor.,Cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,Prosecuted,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=0,Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Disposition,,TRUE,"Case,Cases",Not Prosecuted,Cases Received,"23,120"
6,"Performance, Primary
Goal, Fair Process: 5
Stage, Pretrial: 1",Time to Initial Appearance,,"Measures the median[12] number of days between arrest and initial appearance[11].
",There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Middle point in the distribution of days between arrest and initial appearance.,"Cases declined for prosecution, and cases transferred to another jurisdiction.","(1,2,3)CA113: NOT_AVAILABLE_YET",(3)CA: [212],,Median,MEDIAN,DysArrstToIntApprnc,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,Prosecuted=1 AND CaseStatus>-1 AND DysArrstToIntApprnc>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Filing,,TRUE,"Day,Days",,,
902,"Performance, Primary
Goal, Fair Process: 
Stage, Pretrial: ",Misdemeanor Cases Received by the Prosecutor Resulting in Diversion,,"Measures the percentage of misdemeanor cases that were received by the prosecutor and diverted from traditional case processing, where the defendant did not have any convictions in that state within the prior three years.[21][14]",There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Number of cases with pretrial diversion[271] that had only misdemeanor charges and involved defendants without convictions in that state in the prior three years divided by the number of cases with only misdemeanor charges involving defendants without convictions in that state in the prior three years.[23],Cases transferred to another jurisdiction; felonies; violent misdemeanors; cases involving DUI charges; cases involving domestic violence; cases involving defendants with convictions in the prior three years; and post-conviction diversions.,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DfrrlDvrsn,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted>-1 AND TopFilingChrgFelMisd=0 AND PriorsFlag=0 AND DfrrlDvrsn=1 AND AnyRfrrdChrgDUIFlag=0 AND DmstcAbuse=0,Prosecuted>-1 AND TopFilingChrgFelMisd=0 AND PriorsFlag=0 AND DfrrlDvrsn>-777 AND AnyRfrrdChrgDUIFlag=0 AND DmstcAbuse=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,TRUE,"Case,Cases",Misdemeanors Diverted,Misdemeanors Received,"907,903,560



"
903,"Performance, Primary
Goal, Fair Process:
Stage: Pretrial:",Misdemeanor Diversion Completion,,Measures the percentage of misdemeanor cases referred to the prosecutor and diverted from traditional case processing in which the defendant successfully completed the diversion program.,There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Number of misdemeanor cases diverted by the prosecutor in which he defendant successfully completed the diversion program divided by the number of misdemeanor cases diverted by the prosecutor.,"Cases transferred to another jurisdiction, cases filed for prosecution","(1,2,3)CA113: NOT_AVAILABLE_YET",,,Percentage,PERCENTAGE,DfrrlDvrsnSccss,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted>-777 AND CaseStatus=1 AND (TopRfrrdChrgFelMisd=0 OR TopFilingChrgFelMisd=0) AND DfrrlDvrsn=1 AND DfrrlDvrsnSccss=1,Prosecuted>-777 AND CaseStatus=1 AND (TopRfrrdChrgFelMisd=0 OR TopFilingChrgFelMisd=0) AND DfrrlDvrsn=1 AND DfrrlDvrsnSccss>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,TRUE,"Case, Cases",Misdemeanors diverted successfully,Misdemeanors diverted,"10,23"
23,"Performance, Primary
Goal, Fair Process: 3,
Goal, Fiscal Responsibility: 3
Stage, Case Resolution: 1",Cases Dismissed,,Measures the percentage of [CohortStYr] cases filed in court that were dismissed.[39],"We recommend interpreting this Measure together with ""Cases Not Prosecuted."" 

There are many factors that could affect a county's results on this measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.",Number of [CohortStYr] cases dismissed divided by number of [CohortStYr] cases filed in court by the prosecutor.,Cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",,,Percentage,PERCENTAGE,CaseDisposition,CaseDisposition=-999,CaseDisposition != -777 AND CaseDisposition != -888,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND CaseStatus=1 AND CaseDisposition=1,Prosecuted=1 AND CaseStatus=1 ,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,,True,"Case,Cases",Dismissed,Filed,"2,120"
16,"Performance, Primary
Goal, Fair Process: 12
Stage, Case Resolution: 6",Felony Cases Resolved with a Trial Verdict,,Measures the percentage of [CohortStYr] felony cases resolved at trial. [40],There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Number of [CohortStYr] felony cases resolved with a trial verdict divided by number of [CohortStYr] felonies resolved at trial or by guilty plea.,Misdemeanors; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases with pretrial diversion; cases dismissed; cases where the defendant was guilty but the method of disposition (i.e. plea or trial) is unknown; and cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",,,Percentage,PERCENTAGE,"CaseDisposition
missing=6",CaseDisposition=6,Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgFelMisd=1 AND (CaseDisposition=3 OR CaseDisposition=4 OR CaseDisposition=5),"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgFelMisd=1 AND  (CaseDisposition=3 OR CaseDisposition=4) ,Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgFelMisd=1 AND (CaseDisposition=3 OR CaseDisposition=4 OR CaseDisposition=5),"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Felony,TRUE,"Felony,felonies",Felony cases resolved at trial,Felony cases resolved at trial and by guilty plea,120
104,"Performance, Primary
Goal, Fair Process: 13
Stage, Case Resolution: 7",Time to Disposition for Felonies,,Measures he median[12] number of days from case filing to case closure for felonies filed in [CohortStYr].,There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Middle point in the distribution of days from case filing to closure for all [CohortStYr] felony cases.,Misdemeanors; homicides; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; and cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",,,Median,MEDIAN,DysFilingToClsr,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgOffns>4 AND TopFilingChrgOffns<777 AND TopFilingChrgFelMisd=1 AND DysFilingToClsr>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Felony,TRUE,"Day,Days",,,"17,120"
904,"Performance, Primary
Goal, Fair Process: 
Stage, Pretrial: ",Time from Offense to Charging,,Measures the median number of days between the occurrence of a crime and when a suspect is charged in court.,There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Middle point in the distribution of days from when the offense took place to when the case was filed in court for all cases.,"Cases declined for prosecution, and cases transferred to another jurisdiction.","(1,2,3)CA113: NOT_AVAILABLE_YET",,,Median,MEDIAN,DysOffnsToFiling,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,Prosecuted=1 AND CaseStatus>-1 AND DysOffnsToFiling>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Filing,,TRUE,"Day,Days",,,
